QCode,Title,link,level,statement,Author,Tester,Editorial,Tags,Date Added,Time Limit,Source Limit,Languages
SEQUENCE,Integer Sequences,/problems/SEQUENCE,medium,"
All submissions for this problem are available.

For a fixed integer n, let x1, x2, ..., x2n be a sequence that contains each of the 2n different n bit integers exactly once. To be precise, we say an integer is an n bit integer if it can be expressed in binary with exactly n bits (with, perhaps, some leading zeros). We say the sequence is gradual if two consecutive numbers differ in exactly one bit when written in binary and the first and last numbers also differ in exactly one bit in their binary representations.

Your job is to generate such a sequence. This is normally a fairly standard exercise, but there is one extra constraint. For some reason, there are two particular n bit numbers a and b such that it is illegal to have a and b appear consecutively (in either order) in the sequence and it is illegal to have one of a or b at the start of the sequence and the other at the end.

For example, if n = 2, a = 1, and b = 3 then the sequence 0, 2, 3, 1 is not allowed since a and b are consecutive. The sequence 1, 0, 2, 3 is also not allowed since a is at the beginning and b is at the end. Finally, the sequence 0, 1, 2, 3 is also not allowed since two bits change when going from 1 to 2 and when going from 3 to 0.
Input
The first line contains a single positive integer t ≤ 30 denoting the number of test cases to follow. Each test case consists of three numbers n, a, b. Here, n is the number of bits (between 1 and 15, inclusive) and a and b are distinct integers between 0 and 2n-1 (inclusive).
Output

The output for each test case is a single line consisting of a sequence of 2n integers. This should be such that the sequence is gradual according to the above description and contains all n bit integers. Furthermore, numbers a and b should not appear consecutively (in either order) nor does the start of the sequence contain one of a or b and the end contain the other. If there are many such sequences then any will do. On the other hand, if there is no such sequence then simply print a single line containing -1.
Example

Input:
3
2 0 1
3 1 2
3 5 7

Output:
-1
0 1 3 2 6 7 5 4
1 3 7 6 2 0 4 5

 ",friggstad,pieguy,http://discuss.codechef.com/problems/SEQUENCE,"['friggstad', 'cook07', 'medium']",            30-01-2011</td>        <,            4 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
CHEFTEAM,Chef team,/problems/CHEFTEAM,easy,"
All submissions for this problem are available.
Chef has N subordinates. In order to complete a very important order he will choose exactly K of them. He can't choose less than K since it will be not enough to complete the order in time. On the other hand if he chooses more than K subordinates he can't control them during the operation. Help him to find the number of ways he can choose the team to complete this very important order.
Input
 The first line contains a single positive integer T <= 100, the number of test cases. T test cases follow. The only line of each test case contains two integers N and K, where 0 <= N, K < 2^64. It is guaranteed that the answer will be less than 2^64.
Output
 For each test case, output a single line containing the number of ways to choose the required team.
Example

Input:
3
2 1
3 3
10 5

Output:
2
1
252

",anton_lunyov,friggstad,http://discuss.codechef.com/problems/CHEFTEAM,"['anton_lunyov', 'cook06', 'easy']",            14-01-2011</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
SEATR,Sereja and Tree,/problems/SEATR,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian.
Sereja likes to hang around trees. A tree is an undirected graph on N vertices with N-1 edges and no cycles. Sereja has his own peculiar way of comparing two trees. To describe it, let's start with the way Sereja stores a tree. For every tree, Sereja has a value V — the root of the tree, and for every vertex i, he has an ordered list Q[i] with L[i] elements — Q[i][1], Q[i][2], ..., Q[i][L[i]] which are children of the vertex i. Sereja assumes two trees to be equal if their roots are the same and for every i, the ordered list Q[i] is the same in both the trees that Sereja compares.

So if Sereja has tree#1 given as [V=1, Q[1]=[2, 3], Q[2]=[], Q[3]=[]] and tree#2 given as [V=1, Q[1]=[3, 2], Q[2]=[], Q[3]=[]], they will be considered different because Q[1] in the first tree is not equal to Q[1] in the second tree.

For any vertex i, Sereja calls number of vertices adjacent to it as E[i].

Given an array C of N elements, Let f(C) be the number of different trees (in Sereja's representation) such that there exists a permutation P[1], P[2], ... , P[N] so that E[P[1]]=C[1], E[P[2]]= C[2], ... , E[P[N]]=C[N].

Sereja gives you the array C. You have to compute the number f(C) modulo 1000000007 (109+7).
Input
The first line of input contains the integer N. Next line contains N integers C[1], C[2], ..., C[N].

Output
Output answer in single line. 

Constraints

1 ≤ N ≤  80 
0 ≤ C[i] ≤  80 

Example
Input:
4
1 1 2 2

Output:
72

Input:
5
3 1 1 1 2

Output:
960

Input:
3
2 2 2

Output:
0
 ",sereja,iscsi,http://discuss.codechef.com/problems/SEATR,"['mathematics', 'sereja', 'dynamic-prog', 'memoization', 'trees', 'hard', 'cook64']",            6-11-2015</td>        <,            10 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
FLOW017,Second Largest,/problems/FLOW017,beginner,"
All submissions for this problem are available.
	Three numbers A, B and C are the inputs. Write a program to find second largest among three numbers.

Input
The first line contains an integer T, total number of testcases. Then follow T lines, each line contains three integers A, B and C.

Output
Display the second largest among A, B and C.
Constraints

1 ≤ T ≤ 1000
1 ≤ A,B,C ≤ 1000000

Example

Input
3 
120 11 400
10213 312 10
10 3 450

Output

120
312
10
 ",vicky002,,,['vicky002'],            27-04-2015</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
CFRTEST,Devu and friendship testing,/problems/CFRTEST,beginner,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.

Devu has n weird friends. Its his birthday today, so they thought that this is the best occasion for testing their friendship with him. They put up conditions before Devu that they will break the friendship unless he gives them a grand party on their chosen day. Formally, ith friend will break his friendship if he does not receive a grand party on dith day.


Devu despite being as rich as Gatsby, is quite frugal and can give at most one grand party daily. Also, he wants to invite only one person in a party. So he just wonders what is the maximum number of friendships he can save. Please help Devu in this tough task !!

Input

The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follows.
First line will contain a single integer denoting n.
Second line will contain n space separated integers where ith integer corresponds to the day dith as given in the problem.

Output
Print a single line corresponding to the answer of the problem.
Constraints

1 ≤ T ≤ 104
1 ≤ n  ≤ 50
1 ≤ di ≤ 100

Example
Input:
2
2
3 2
2
1 1
Output:
2
1

Explanation
Example case 1. Devu can give party to second friend on day 2 and first friend on day 3, so he can save both his friendships.
Example case 2. Both the friends want a party on day 1, and as the Devu can not afford more than one party a day, so he can save only one of the friendships, so answer is 1. ",admin2,,http://discuss.codechef.com/problems/CFRTEST,"['admin2', 'cook58', 'cakewalk']",            11-05-2015</td>        <,            1 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYPY, PYTH, PYTH 3.4, RUBY, SCALA, SCM chicken, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
IDOLS,Idols and Fans,/problems/IDOLS,medium,"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.
Mike is a cool kid, so he's the most popular person in his school. All the girls want to be with him while all the boys want to be like him.
There are N persons in Mike's school. No person in the school has a name(except Mike), but all of them have a unique ID integer number for the range[1..N]. Mike's ID equals to 1. Also, each person(except Mike) has his/her personal idol, who is another person from the school. Finally, each person X has an integer number AX.
Let's define functions F and G for a person with ID equals to X:

If X = 1(which means that person X is Mike), then FX = AX and GX = 1;
Otherwise, let Y be the personal idol for X.

If FY + 1 < AX, then FX = AX and GX = 1;
If FY + 1 > AX, then FX = FY + 1 and GX = GY;
If FY + 1 = AX, then FX = FY + 1 and GX = GY + 1.



It's guaranteed, that it's possible to calculate functions F and G for every person in the school.

You are to write a program, that can efficiently process queries of the following types:

0 X NEW_VALUE - change the value of AX to NEW_VALUE;
1 X - calculate FX and GX.

Input
The first line of the input contains two integers N and Q, denoting the number of the persons in Mike's school and the number of queries to process.
The second line contains N integers Ai, denoting A1, A2, ..., AN.
The third line contains N - 1 integers Pi, denoting the personal idols of persons with IDs equal to 2, 3, ..., N. 1 ≤ Pi < i. 
The next Q lines contain information about the queries. The format of the queries is the same with the one described in the statement.
Output
For each query of the second type, output a single line containing two integers, FX and GX.
Constraints
1 ≤ N ≤ 100000;
1 ≤ Q ≤ 300000;
1 ≤ Ai ≤ 109, for each person;
1 ≤ X ≤ N, 1 ≤ NEW_VALUE ≤ 109, for each query of the first type.
Example
Input:
5 2
1 2 3 4 5
1 2 3 4
1 5
0 1 100

Output:
5 5
Explanations

In the input, before the second query, F's and G's equals to the following:



ID
F
G


1
1
1


2
2
2


3
3
3


4
4
4


5
5
5




After the second query, F's and G's equals to the following:



ID
F
G


1
100
1


2
101
1


3
102
1


4
103
1


5
104
1


 ",kostya_by,rustinpiece,http://discuss.codechef.com/problems/IDOLS,"['kostya_by', 'heavy-light', 'segment-tree', 'cook47', 'hard']",            31-05-2014</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
LEMAGIC,Little Elephant and Magic,/problems/LEMAGIC,easy,"
All submissions for this problem are available.

The Little Elephant from the Zoo of Lviv believes in magic.


He has a magic board A that consists of N rows and M columns. Each cell of the board contains an integer from 0 to 9 inclusive. The cell at the intersection of the i-th row and the j-th column is denoted as (i; j), where 1 ≤ i ≤ N and 1 ≤ j ≤ M. The number in the cell (i; j) is denoted as A[i][j].


The Little Elephant owns the only magic operation which can be described as follows. He chooses some integer P and some row or column, after that for each cell in the chosen row or column he adds number P to the number in this cell and take the result modulo 10 in order to keep numbers in the range {0, 1, ..., 9}. Our Little Magician wants to perform series of such operations to achieve some board for which certain characteristic called level of the board is maximal possible.


So what is the level of the board? Bluntly speaking it is the length of the longest non-increasing subsequence of cells of the board. Formally, the level of the board is the maximal integer K such that there exists such sequence of different cells (i1; j1), (i2; j2), ..., (iK; jK) for which


1 ≤ i1 ≤ ... ≤ iK ≤ N, 
1 ≤ j1 ≤ ... ≤ jK ≤ M,

and

A[i1][j1] ≥ A[i2][j2] ≥ ... ≥ A[iK][jK].


Though, the magic operation, the Little Elephant owns, is quite powerful, there are some restrictions dictated by the Association of Cursed Magicians (ACM):


The number P should be chosen in advance and should be the same for all operations.
For each row the magic operation can be applied at most once.
The same, of course, is true for columns.



Without these stupid restrictions of this stupid Association our hero could always achieve the maximal possible level M + N − 1. But now he is confused and asks you for help. Find the maximal level of the board A after making arbitrary number of magic operations according to the restrictions of ACM.

Input

The first line of the input contains a single integer T, the number of test cases. Then T test cases follow. The first line of each test case contains two space separated integers N and M, the sizes of the board. Each of the following N lines contains M one-digit numbers without spaces. The i-th line among them contains the numbers A[i][1], ..., A[i][M].

Output

For each test case output a single line containing a single integer, the maximal possible level of the board that Little Elephant can achieve under the restrictions of ACM.

Constraints

1 ≤ T ≤ 10
1 ≤ N ≤ 100
1 ≤ M ≤ 100
0 ≤ A[i][j] ≤ 9

Example

Input:
2
2 2
11
10
3 4
3478
4268
7173

Output:
3
5
Explanation

Case 1. The board already has a sequence of 3 cells that satisfies all required constraints (without applying any operation). For example, one can choose, the sequence (1; 1), (1; 2), (2; 2). It is also shown in the figure below (chosen cells are made bold):


11
10


Let's formally validate this sequence of cells. Inequality 1 ≤ i1 ≤ ... ≤ iK ≤ N takes the form 1 ≤ 1 ≤ 2. Inequality 1 ≤ j1 ≤ ... ≤ jK ≤ M takes the form 1 ≤ 2 ≤ 2. Finally, inequality A[i1][j1] ≥ A[i2][j2] ≥ ... ≥ A[iK][jK] takes the form 1 ≥ 1 ≥ 0. So all of them is satisfied, which means that the level of this board is at least 3. But clearly, we can't have the required sequence of cells of length more than 3. So 3 is the actual level of this board.


Case 2. The desired sequence of length 5 can be achieved by several values of P. Consider, for example, P = 3. At first let's apply the magic operation to the 1st row. We get the following transformation:


3478  →  6701
4268  →  4268
7173  →  7173


Now let's transform the 1st column by the magic operation. We get:


6701  →  9701
4268  →  7268
7173  →  0173


Finally we modify the 2nd column:


9701  →  9001
7268  →  7568
0173  →  0473


Now we can take the following sequence of 5 cells to satisfy all needed constraints: (1; 1), (2; 1), (2; 2), (3; 2), (3; 4) (see the figure below):


9001
7568
0473


Just to reiterate we note that the inequality A[i1][j1] ≥ A[i2][j2] ≥ ... ≥ A[iK][jK] takes the form 9 ≥ 7 ≥ 5 ≥ 4 ≥ 3 for this sequence. One can check (for example, by brute force), that sequences of length more than 5 can't be achieved. So 5 is the answer.

",witua,,,"['easy', 'witua', 'dynamic-prog', 'dp', 'cook28']",            20-03-2012</td>        <,            4 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
PLAYFIT,Fit to Play,/problems/PLAYFIT,easy,"
All submissions for this problem are available.
Who's interested in football?
Rayne Wooney has been one of the top players for his football club for the last few years. But unfortunately, he got injured during a game a few months back and has been out of play ever since.
He's got proper treatment and is eager to go out and play for his team again. Before doing that, he has to prove to his fitness to the coach and manager of the team. Rayne has been playing practice matches for the past few days. He's played N practice matches in all.
He wants to convince the coach and the manager that he's improved over time and that his injury no longer affects his game. To increase his chances of getting back into the team, he's decided to show them stats of any 2 of his practice games. The coach and manager will look into the goals scored in both the games and see how much he's improved. If the number of goals scored in the 2nd game(the game which took place later) is greater than that in 1st, then he has a chance of getting in. Tell Rayne what is the maximum improvement in terms of goal difference that he can show to maximize his chances of getting into the team. If he hasn't improved over time, he's not fit to play. Scoring equal number of goals in 2 matches will not be considered an improvement. Also, he will be declared unfit if he doesn't have enough matches to show an improvement.

Input:
The first line of the input contains a single integer T, the number of test cases.
Each test case begins with a single integer N, the number of practice matches Rayne has played.
The next line contains N integers. The ith integer, gi, on this line represents the number of goals Rayne scored in his ith practice match. The matches are given in chronological order i.e. j > i means match number j took place after match number i.

Output:
For each test case output a single line containing the maximum goal difference that Rayne can show to his coach and manager. If he's not fit yet, print ""UNFIT"".

Constraints:
1<=T<=10
1<=N<=100000
0<=gi<=1000000 (Well, Rayne's a legend! You can expect him to score so many goals!)
Example:
Input:
3
6
3 7 1 4 2 4
5
5 4 3 2 1
5
4 3 2 2 3
Output:
4
UNFIT
1
Explanation:
In the first test case, Rayne can choose the first and second game. Thus he gets a difference of 7-3=4 goals. Any other pair would give him a lower improvement.
In the second test case, Rayne has not been improving in any match. Thus he's declared UNFIT.
Note: Large input data. Use faster I/O methods. Prefer scanf,printf over cin/cout.
",vamsi_kavala,laycurse,http://discuss.codechef.com/problems/PLAYFIT,"['vamsi_kavala', 'easy', 'april12']",            20-01-2012</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
CHEFGM,Chef Game,/problems/CHEFGM,medium,"
All submissions for this problem are available. Read problems statements in  Mandarin Chinese  and  Russian.
Chef Ciel is playing a game with one of her colleagues.
 In this game, there are k piles of numbers. There are ni numbers in ith pile. In each move, player has to select a pile and finally a number from that pile. After that, all the numbers which are greater than or equal to chosen number will be removed from that pile. Players take turn alternatively. Player who is unable to move loses the game. 
Chef Ciel always make first move. But before making her move, she must choose either EVEN or ODD. If she chooses even then each time she selects a number it must be even and her opponent must select odd number in his/her turn. And vice versa for the other case. 
Please help Chef Ciel to make her choice. If neither choice can make her win game, print DON'T PLAY otherwise EVEN or ODD depending on which choice she should make to win game. If you think then you will understand BOTH can not be answer.
Assume that both players play intelligently, if they can force win they will. 
 Input :  First line of test case contains t, number of test cases. Then t test cases follow. First line of each test case contains k, number of piles.  Then description of k piles follow. ith pile description contains number ni, then ni numbers follow in the same line.
Output :  Print ""EVEN"", ""ODD"" or ""DON'T PLAY"" accordingly.
Constraints :  t <= 1000, k <=100, ni <= 45. Numbers in pile will be non-negative and less than 2^31.
Sample Input :
2
2 
2 3 4
2 4 5
1
3 1 2 3
Sample Output :
DON'T PLAYODD
Explanation: 
In the first test case, if you have chosen ODD to play with, it means you will select only ODD numbers and your opponent may choose only EVEN numbers. So you have two options. Either select 3 from first pile or 5 from second pile. If 3 is selected, 3 and 4 are removed from first pile and in next move your opponent's only move will be 4 from second pile removing every numbers thus you lose. If you had selected 5, then your opponent's optimal move would be selecting 4 from first pile. Next you will select 3 and your opponent 4 leaving nothing for you. So if you choose ODD you will lose. Similarly if you choose EVEN you will lose as well. So the answer is DON'T Play.
In the second case, if you choose ODD just select 1 and you will win. If you choose EVEN you have only one move that is 2, and in response your opponent will choose 1 and leave you nothing. Thus answer is ODD. ",div_adm,,http://discuss.codechef.com/problems/CHEFGM,"['nov13', 'game', 'div_adm', 'easy-medium']",            22-08-2012</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
CNTSOLS,The Number Of Solutions,/problems/CNTSOLS,medium,"
All submissions for this problem are available.Little Chief loves math. Most of all, he loves equations. He can solve any equation in the whole world. Recently he found one interesting and easy equation
x1d+x2d+x3d ≡ m (mod N)
Where x1, x2 and x3 are non negative integer numbers.
But, as always, this was easy enough for him and he solved it in just a few seconds. Now he wants you to do the same. Of course he understands that nobody is as good as he is, so he wants only the number of solutions of such equation which satisfies 0 ≤ x1, x2, x3 ≤ upper for given upper, d,m and N. As the answer might be very large, he asks you to find the answer modulo 1000000007.
Input
The first line of the input contains an integer T denoting the number of test cases. The description of T test cases follow. Each test case consists of 4 integers: upper, d, m, N.
Output
For each test case, output a single line containing number of solutions for the corresponding equation, modulo 1000000007. You may assume that 00 is equal to 1.
Constraints

1 ≤ T ≤ 10
1 ≤ upper ≤ 1,000,000,000
0 ≤ d ≤ 1,000,000,000
1 ≤ N ≤ 40
0 ≤ m < N

Example

Input:
2
2 2 3 5
1 2013 3 31

Output:
4
1

Explanation
The first equation has 4 solutions:

(0,2,2)
(2,2,0)
(2,0,2)
(1,1,1)

The second has only one:

(1,1,1)
 ",ballon_ziq,white_king,http://discuss.codechef.com/problems/CNTSOLS,"['simple-math', 'dynamic-prog', 'aug13', 'ballon_ziq', 'exponentiation', 'easy']",            4-04-2013</td>        <,            2 sec</td>        <,            50000 Bytes</td>        <,"            <td>ADA, ASM, BASH, BF, C, C99 strict, CAML, CLOJ, CLPS, CPP 4.3.2, CPP 4.9.2, CPP14, CS2, D, ERL, FORT, FS, GO, HASK, ICK, ICON, JAVA, JS, LISP clisp, LISP sbcl, LUA, NEM, NICE, NODEJS, PAS fpc, PAS gpc, PERL, PERL6, PHP, PIKE, PRLG, PYTH, PYTH 3.4, RUBY, SCALA, SCM guile, SCM qobi, ST, TCL, TEXT, WSPC</td>        <"
