,QCode,SolutionID,timeago,UserID,Status,TimeTaken,MemTaken,SolutionUrl,Solutions
0,A3,S3309084,12:10 AM 30/01/14,/users/franko28,accepted,0.88,9.4M,/viewplaintext/3309084,"
import sys
from collections import Counter

t = sys.stdin.readline()
m = 1
M = 1000000000
for _ in range(int(t)):
  k = sys.stdin.readline()
  k = int(k)
  assert(1 <= k <= 100000)
  c = Counter()
  for _ in range(k):
    line = sys.stdin.readline()
    o, l, v = line.strip().split()
    l = int(l)
    assert(m <= l <= M)
    v = v.upper()
    if o == '<' and v == 'YES': #less
      c[l] += 1
    elif o == '<' and v == 'NO': #great or equal
      c[m] += 1
      c[l] -= 1
    elif o == '>' and v == 'YES':  #great
      c[m] += 1
      c[l+1] -= 1
    elif o == '>' and v == 'NO':  #less or equal
      c[l+1] += 1
    elif o == '=' and v == 'YES':
      c[m] += 1
      c[l] -= 1
      c[l+1] += 1
    elif o == '=' and v == 'NO':
      c[l] += 1
      c[l+1] -= 1

  count = 0
  mcount = k
  for key in sorted(c):
    count += c[key]
    if key <= M:
      mcount = min(mcount, count)
  print(mcount)





"
1,A3,S7303251,11:58 AM 29/06/15,/users/saquib_here,accepted,0.87,9.5M,/viewplaintext/7303251,"
import sys
from collections import Counter

t = sys.stdin.readline()
m = 1
M = 1000000000
for _ in range(int(t)):
  k = sys.stdin.readline()
  k = int(k)
  assert(1 <= k <= 100000)
  c = Counter()
  for _ in range(k):
    line = sys.stdin.readline()
    o, l, v = line.strip().split()
    l = int(l)
    assert(m <= l <= M)
    v = v.upper()
    if o == '<' and v == 'YES': #less
      c[l] += 1
    elif o == '<' and v == 'NO': #great or equal
      c[m] += 1
      c[l] -= 1
    elif o == '>' and v == 'YES':  #great
      c[m] += 1
      c[l+1] -= 1
    elif o == '>' and v == 'NO':  #less or equal
      c[l+1] += 1
    elif o == '=' and v == 'YES':
      c[m] += 1
      c[l] -= 1
      c[l+1] += 1
    elif o == '=' and v == 'NO':
      c[l] += 1
      c[l+1] -= 1

  count = 0
  mcount = k
  for key in sorted(c):
    count += c[key]
    if key <= M:
      mcount = min(mcount, count)
  print(mcount)

"
2,ALTARAY,S10085035,08:55 PM 14/05/16,/users/p0ng5ak0rn,accepted,1.06,9.7M,/viewplaintext/10085035,"
for test in range(int(input())):
    n = int(input())
    arrays = list(map(int, input().split()))
    result = []
    count = 1
    previous = arrays[0]
    for i, val in enumerate(arrays[1:]):
        if val * previous < 0:
            count += 1
            previous = val
        else:
            result.extend(list(range(count,0,-1)))
            count = 1
    else:
        result.extend(list(range(count,0,-1)))

    str_nums = list(map(str, result))
    print("" "".join(str_nums))

"
3,ALTARAY,S10269851,02:50 AM 03/06/16,/users/kkurani,accepted,1.13,10.2M,/viewplaintext/10269851,"
import sys

def main():
    #try:
        T = int(input())
        result=[]

        for i in range(T):
            N = int(input())
            A = input().split()
            B = list(A)

            i = N-2
            B[N-1] = 1

            while i >= 0:
                if (int(A[i]) * int(A[i+1])) < 0:
                    B[i] = B[i+1] + 1
                else:
                    B[i] = 1
                i -= 1

            B = list(map(str, B))
            result.append(' '.join(B))

        for i in range(T):
            print(result[i])
    #except:
        #return 0

if __name__ == '__main__':
    main()

"
4,ALTARAY,S10514512,12:16 AM 16/06/16,/users/elric_97,accepted,1.34,10.3M,/viewplaintext/10514512,"
t=int(input())
while t>0:
    n=int(input())
    d=list(map(int,input().split()))
    x=[1]*n
    i=n-2
    while i>=0:
        if d[i+1]*d[i]<0:
            x[i] = x[i+1]+ 1
        i -= 1
    print(*x)
    t-=1


"
5,ALTARAY,S10643088,06:45 AM 30/06/16,/users/steffin_rayen,accepted,2.04,10.1M,/viewplaintext/10643088,"
t = int(input())
while(t>0):
    n = int(input())
    l = [int(i)>0 for i in input().split()]
    temp =1
    for i in range(n):
        if temp>1:
            temp = temp-1
            print(temp,end="" "")
            continue
        key = l[i]
        j = i+1
        temp=1
        while j<n and key^l[j]:
            key = l[j]
            j+=1
            temp+=1
        print(temp,end="" "")
    t-=1
    print(""\n"",end="""")

"
6,ALTARAY,S10775528,12:24 AM 10/07/16,/users/merolish,accepted,1.01,10.5M,/viewplaintext/10775528,"
for t in range(int(input())):
    n, a = int(input()), list(map(int, input().split()))
    v, c = [0] * n, n
    for i in range(n - 1, -1, -1):
        v[i] = str(c - i)
        if a[i] * a[i - 1] > 0:
            c = i
    print(' '.join(v))

"
7,ALTARAY,S10910626,03:04 PM 26/07/16,/users/bigohone,accepted,1.06,14.4M,/viewplaintext/10910626,"
# @Date    : 2016-07-26 11:42:50
# @Author  : Samandar Ravshanov (ravshanoff@protonmail.com)
# @Problem : https://www.codechef.com/problems/ALTARAY


import unittest

from random import randint, shuffle
from sys import maxsize

class StressTest(unittest.TestCase):
  known_values = (
    # A[:],           expected
    ([-5,-1,-1,2,-2,-3],     [1,1,3,2,1,1]),
    ([1,2,3,4],           [1,1,1,1]),
    ([1,-5,1,-5],         [4,3,2,1]),

  )

  def test_known_cases(self):
    for A, expected in self.known_values:
      self.assertEqual(expected, NaiveSolution().altarray(A))

  def test_all_cases(self):
    while True:
      break
      N = randint(0, 10)
      A = [randint(-N, N) for x in range(N)]
      ans = NaiveSolution().altarray(A)
      print(A, ans)


class NaiveSolution:
  def altarray(self, A):
    dp = [1 for x in range(len(A))]
    for x in range(len(A)-2, -1, -1):
      if self.isAlter(A[x], A[x+1]):
        dp[x] = dp[x+1] + 1

    return dp

  def isAlter(self, a, b):
    if a > 0:
      return b < 0
    if b > 0:
      return a < 0
    return False


class BestSolution:
  pass


if __name__ == '__main__':
  #unittest.main()

  T = int(input().strip())
  for t in range(T):
    N = int(input().strip())
    A = [int(x) for x in input().strip().split()]
    ans = NaiveSolution().altarray(A)
    print(' '.join([str(x) for x in ans]))




"
8,ALTARAY,S9713312,01:09 AM 21/03/16,/users/chaitya_62,accepted,1.94,10.1M,/viewplaintext/9713312,"
t = int(input())
while(t>0):
    n = int(input())
    l = [int(i)>0 for i in input().split()]
    temp =1
    for i in range(n):
        if temp>1:
            temp = temp-1
            print(temp,end="" "")
            continue
        key = l[i]
        j = i+1
        temp=1
        while j<n and key^l[j]:
            key = l[j]
            j+=1
            temp+=1
        print(temp,end="" "")
    t-=1
    print(""\n"",end="""")








"
9,ALTARAY,S9714565,12:30 PM 21/03/16,/users/luks,accepted,1.95,10.5M,/viewplaintext/9714565,"
import sys
from math import copysign

def same_sign(a, b):
  return copysign(1, a) == copysign(1, b)

T = int(input())
output = []
for t in range(T):
  N = int(input())
  integers = list(map(int, input().split()))
  num_alter = [0] * N
  for i in range(len(integers) - 2, -1, -1):
    if not same_sign(integers[i], integers[i + 1]):
      num_alter[i] = num_alter[i + 1] + 1
  for n in num_alter:
    output.append(str(n + 1))
    output.append(' ')
  output.append('\n')
sys.stdout.write(''.join(output))

"
